OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,2001 Estimated resident population (no.),2002 Estimated resident population (no.),2003 Estimated resident population (no.),2004 Estimated resident population (no.),2005 Estimated resident population (no.),2006 Estimated resident population (no.),2007 Estimated resident population (no.),2008 Estimated resident population (no.),2009 Estimated resident population (no.),2010 Estimated resident population (no.),2011 Estimated resident population (no.),2012 Estimated resident population (no.),2013 Estimated resident population (no.),2014 Estimated resident population (no.),2015 Estimated resident population (no.),2016 Estimated resident population (no.),2017 Estimated resident population (no.),2018 Estimated resident population (no.),2019 Estimated resident population (no.),2020 Estimated resident population (no.),2021 Estimated resident population (no.),2022 Estimated resident population (no.),2023 Estimated resident population (no.),globalid,Shape__Area,Shape__Length
1,101021007,Braidwood,3418.3525,https://linked.data.gov.au/dataset/asgsed3/SA2/101021007,2760,2811,2835,2844,2847,2965,3102,3181,3308,3429,3458,3590,3685,3762,3849,3950,4041,4145,4218,4282,4332,4366,4396,d6182ac8-efdb-4293-b59c-0119eb98b3d7,0.339396982400558,3.91369435008934
2,101021008,Karabar,6.9825,https://linked.data.gov.au/dataset/asgsed3/SA2/101021008,9129,9199,9263,9277,9209,9212,9033,8994,9030,9101,9092,9012,8848,8731,8603,8531,8530,8516,8500,8535,8548,8528,8483,c92e2601-9221-47f7-9453-3bc19567fe67,0.000692573608375824,0.138641935685031
3,101021009,Queanbeyan,4.762,https://linked.data.gov.au/dataset/asgsed3/SA2/101021009,9717,9513,9522,9400,9595,9682,9793,10074,10288,10584,10715,10870,11050,11199,11213,11230,11362,11460,11468,11460,11375,11391,11420,95e5e156-f9a0-4c16-a2fb-ecb5ef2ad685,0.000472213498142082,0.107150167045716
4,101021010,Queanbeyan - East,13.0032,https://linked.data.gov.au/dataset/asgsed3/SA2/101021010,3925,4073,4219,4218,4187,4319,4459,4595,4712,4813,4951,4971,4983,4967,4961,4970,5016,5079,5126,5089,5097,5091,5099,ce84370b-2b5f-498c-ac33-fe6180eaf8dc,0.0012895043005301,0.189549065008771
5,101021012,Queanbeyan West - Jerrabomberra,13.6748,https://linked.data.gov.au/dataset/asgsed3/SA2/101021012,9425,10257,11085,11549,12046,12358,12622,12798,12988,13146,13223,13204,13210,13193,13164,13150,13090,13022,12955,12821,12748,12781,12873,21163278-9061-41d8-adde-14402be5d237,0.00135637771154506,0.193368205884951
6,101021610,Googong,6.9164,https://linked.data.gov.au/dataset/asgsed3/SA2/101021610,26,28,32,34,40,43,46,48,50,51,51,54,64,368,937,1613,2592,3460,4495,5464,6254,6748,7352,3ba75d66-9381-4478-882a-e166a53bfa8a,0.000686484952893807,0.110633602836431
7,101021611,Queanbeyan Surrounds,3047.7057,https://linked.data.gov.au/dataset/asgsed3/SA2/101021611,10242,10733,11153,11498,11995,12539,13046,13583,13978,14286,14561,14937,15345,15592,15681,15678,15777,15940,16078,16306,16538,16864,17274,cb076301-a1c7-48ea-b43e-2eb00660de36,0.302555689392648,4.39506930327561
8,101031013,Bombala,3990.144,https://linked.data.gov.au/dataset/asgsed3/SA2/101031013,2622,2617,2590,2576,2577,2589,2567,2534,2516,2503,2484,2462,2451,2437,2428,2420,2425,2433,2448,2458,2449,2467,2468,3269736b-2d13-4793-86c0-71f7098e41cc,0.403289665011471,4.56417828447938
9,101031014,Cooma,103.6371,https://linked.data.gov.au/dataset/asgsed3/SA2/101031014,6915,6945,6981,7008,7013,7022,6964,6936,6932,6934,6935,6931,6924,6914,6887,6870,6869,6880,6875,6842,6761,6670,6781,92ca9c21-a39e-4c2d-a4fa-f2125b6b470a,0.0103915497975322,0.544648729404326
10,101031015,Cooma Surrounds,6251.0158,https://linked.data.gov.au/dataset/asgsed3/SA2/101031015,2932,2946,2991,3023,3082,3141,3186,3196,3211,3244,3271,3282,3294,3305,3314,3327,3335,3352,3376,3421,3460,3505,3538,67b5d7e9-9e33-485f-b6a7-18ccf6c47385,0.625819941174541,7.16623611491503
